Unnamed: 0.1;Unnamed: 0;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo agregado
115;120;Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0;13.33;Apartamento
118;123;Apartamento;Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0;21.15;Apartamento
119;124;Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0;36.11;Apartamento
120;125;Apartamento;Taquara;2;1;0;75;1200.0;330.0;75.0;16.0;Apartamento
121;126;Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0;28.95;Apartamento
124;129;Apartamento;Méier;2;0;0;56;899.0;402.0;135.0;16.05;Apartamento
125;130;Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0;16.9;Apartamento
126;131;Apartamento;Lagoa;3;1;2;105;3600.0;1100.0;281.0;34.29;Apartamento
128;133;Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0;18.39;Apartamento
129;134;Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0;42.86;Apartamento
131;137;Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0;33.0;Apartamento
132;138;Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0;26.88;Apartamento
133;139;Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0;10.26;Apartamento
134;140;Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0;29.41;Apartamento
135;141;Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0;65.22;Apartamento
136;142;Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0;52.86;Apartamento
137;143;Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;0.0;16.84;Apartamento
139;145;Apartamento;Campo Grande;2;0;0;60;1200.0;570.0;0.0;20.0;Apartamento
140;146;Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0;47.5;Apartamento
141;147;Apartamento;Engenho de Dentro;3;1;1;61;1400.0;498.0;0.0;22.95;Apartamento
142;148;Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0;28.0;Apartamento
146;152;Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;0.0;26.43;Apartamento
147;153;Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0;50.0;Apartamento
149;155;Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0;32.05;Apartamento
151;157;Apartamento;Lagoa;3;1;1;75;4000.0;1250.0;309.0;53.33;Apartamento
152;158;Apartamento;Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;0.0;18.14;Apartamento
153;159;Apartamento;Tijuca;1;0;0;65;1200.0;320.0;0.0;18.46;Apartamento
154;160;Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0;25.0;Apartamento
156;162;Apartamento;Maracanã;3;2;3;158;2400.0;1265.0;0.0;15.19;Apartamento
157;163;Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0;24.1;Apartamento
158;164;Apartamento;Laranjeiras;5;2;1;400;9000.0;3000.0;0.0;22.5;Apartamento
159;165;Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0;22.62;Apartamento
160;166;Apartamento;Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0;20.78;Apartamento
162;168;Apartamento;Tijuca;3;0;0;75;1800.0;350.0;0.0;24.0;Apartamento
163;169;Apartamento;Ipanema;3;1;1;126;5500.0;1400.0;2000.0;43.65;Apartamento
167;173;Apartamento;Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800.0;0.0;18.5;Apartamento
